,modelA_EX_ca2_e,modelA_EX_cl_e,modelA_EX_co2_e,modelA_EX_cobalt2_e,modelA_EX_fe3_e,modelA_EX_fe3pyovd_kt_e,modelA_EX_h2o_e,modelA_EX_h_e,modelA_EX_k_e,modelA_EX_mg2_e,modelA_EX_mn2_e,modelA_EX_nh4_e,modelA_EX_o2_e,modelA_EX_pyovd_kt_e,modelA_EX_zn2_e,modelB_EX_ca2_e,modelB_EX_cl_e,modelB_EX_co2_e,modelB_EX_cobalt2_e,modelB_EX_fe3_e,modelB_EX_fe3pyovd_kt_e,modelB_EX_h2o_e,modelB_EX_h_e,modelB_EX_k_e,modelB_EX_mg2_e,modelB_EX_mn2_e,modelB_EX_nh4_e,modelB_EX_o2_e,modelB_EX_pyovd_kt_e,modelB_EX_zn2_e,label
SRR13077699,-0.1130491510751653,-0.1130491510751653,294.3566525219532,-0.0021719337382406,-328.5559781099623,418.0416531147939,-16.372544135825017,26.337361463051824,-4.239462621674526,-0.1884152517919615,-0.015008062131212,153.25110613185507,-322.36883361589946,-418.0416531147939,-0.0074062940473967,-0.1501374461003727,-0.1501374461003727,705.6433474780467,-0.0028844850355529,120.54682162579896,-68.31115061304995,-51.65879184493874,-205.26205464037372,-5.630312875441345,-0.2502290768339745,-0.019931791595654,250.2319157962292,-413.3887290339942,68.31115061304995,-0.0098360939712392,Covid
SRR13077718,-0.1199478730119597,-0.1199478730119597,484.76145813457833,-0.0023044740251872,-128.4535356591929,166.64318639980618,-79.4607355612954,10.692634090718176,-4.498171984019699,-0.1999131216866068,-0.0159239155141492,509.77287541123553,-483.6970912554395,-166.64318639980615,-0.0078582564259531,-0.1106529783031809,-0.1106529783031809,336.7214268676974,-0.0021258977579702,-27.836439065194835,214.80021705371897,70.53290285055046,31.160692754302858,-4.149603610746112,-0.1844216305053177,-0.0146899535076922,380.1723515599163,-406.4591511325524,-214.80021705371897,-0.0072493113547287,Covid
SRR13077721,-0.1205227739145836,-0.120522773914584,395.0494862367128,-0.0023155191914443,-109.92386596202704,191.4145729630793,186.22493632916297,102.24422851957372,-4.519731375352344,-0.2008712898576398,-0.016000237612869,392.3062294243054,-444.58612497664615,-191.41457296307928,-0.0078959204428142,-0.1090076095565043,-0.1090076095565043,577.8211577190906,-0.0020942864468111,-61.20893223777264,104.45511614213774,109.20257076436648,55.86595748586649,-4.087900544123314,-0.1816793492608392,-0.01447151934746,483.8210027169181,-308.69398900405565,-104.45511614213773,-0.007141516783623,Covid
SRR13077726,-0.0870869128219283,-0.0870869128219283,458.0343332151949,-0.0016731395354832,-504.5833290636462,703.6736527817709,-55.15602879580824,-259.76612671240224,-3.2658512534965616,-0.1451448547032037,-0.0115613941901907,208.56515824089297,-244.28422783081595,-703.6736527817709,-0.0057054058160019,-0.1347250096044389,-0.1347250096044389,532.9093017379614,-0.0025883767455196,377.710294362233,-349.52578996592115,-17.890331458412614,233.7117437196971,-5.052330220887352,-0.2245416826740615,-0.0178856833115509,210.39523510352493,-431.8730649090895,349.52578996592115,-0.0088263647022409,Covid
SRR13077727,-0.0606818052331277,-0.0606818052331277,372.6065467823274,-0.0011658367960194,0.0,0.0,-87.82191392149771,315.0487541633088,-2.2756318172662646,-0.1011363420552243,-0.0080559322605381,28.46030375545212,-236.54142862942385,0.0,-0.003975503474453,-0.0386142235563511,-0.0386142235563511,627.3934532176726,-0.0007418678877229,-300.0,299.97109783388225,-468.0038930811012,-672.3313399029915,-1.448074186096585,-0.0643570392605738,-0.0051263071042058,627.885760568025,-28.3703270087442,-299.9710978338823,-0.0025297694971868,Covid
SRR13077738,-0.090871680434437,-0.090871680434437,571.6461130240087,-0.0017458536106447,-621.8817402336318,638.7804437420851,-206.90436273937829,-85.06582654692615,-3.40778403823989,-0.1514528007240617,-0.0120638484496061,253.90854117654212,-309.31899325283007,-638.7804437420851,-0.0059533608123274,-0.0929880006029829,-0.0929880006029829,391.9202767962767,-0.0017865129798908,361.076914580388,-337.39718176621005,-78.88133330402309,-160.91616999967755,-3.487148280826103,-0.1549800010049841,-0.0123448046909996,514.753256501269,-355.5198930931824,337.39718176621005,-0.0060920092614115,Covid
SRR13077741,-0.0999262280343202,-0.0999262280343202,477.1683510165011,-0.0019198122580929,-722.2457027692137,722.1037815383612,336.8680537103876,-327.6326620807031,-3.7473391409611705,-0.1665437133905274,-0.0132659027034978,479.940628109092,-308.5362870136912,-722.1037815383612,-0.0065465598001424,-0.1459387752829444,-0.1459387752829444,483.9531063134396,-0.0028038189295469,555.4862756744806,-522.3323587442796,261.7284105506681,147.7347263991567,-5.472858283151952,-0.2432312921382523,-0.0193743888031608,395.1827184210492,-488.1284006515692,522.3323587442796,-0.0095610225497593,Covid
SRR13077751,-0.1314394984495112,-0.1314394984495108,578.3285053629426,-0.0025252545331343,-761.3920443205667,793.9799712096246,78.31325299943101,191.75540071299173,-4.929120080856058,-0.2190658307491851,-0.0174495088239391,487.287029511165,-422.0555513232484,-793.9799712096246,-0.0086111179579796,-0.0917133717186154,-0.0917133717186154,413.1907679908854,-0.0017620244326352,624.4530881837295,-590.7951353829241,232.63441130888987,178.82802583721232,-3.439348350791793,-0.1528556195310192,-0.0121755888295031,204.9404800211412,-433.2849926100356,590.7951353829241,-0.0060085033152836,Covid
SRR13077775,-0.1429989283787108,-0.1429989283787108,621.6205045084249,-0.0027473377210374,-933.3333333333334,933.2428768916524,-35.255531012506346,445.6526589254516,-5.362610917776632,-0.2383315472978741,-0.0189841036522011,463.6980971678744,-289.6199195230332,-933.2428768916524,-0.0093684216286419,-0.0939175288569534,-0.0939175288569534,305.1632979724171,-0.0018043713517348,466.6666666666667,-466.6666666666667,-213.97990926523417,-10.369049693182266,-3.5220065725603944,-0.1565292147615916,-0.0124682060403756,318.13207101875446,-236.92257207309075,466.6666666666667,-0.006152906309353,Covid
SRR13077782,-0.0990365133659086,-0.0990365133659086,460.1223561890016,-0.0019027187966409,-695.3891143153703,749.987120315726,424.5234142881535,-228.53071217128263,-3.71397390075558,-0.1650608556098518,-0.0131477868848841,283.1091285743991,-287.3399868386189,-749.987120315726,-0.0064882710966043,-0.0947691577634129,-0.0947691577634129,501.5443015148389,-0.0018207330982298,567.0609420137486,-317.1867918632847,-291.4923150103036,-376.0637518534412,-3.5539435564482296,-0.1579485962723441,-0.0125812657088439,317.9303219246421,-264.8205539301,317.1867918632847,-0.0062086998650028,Covid
SRR13077784,-0.0965388480551493,-0.0965388480551493,451.3117090267669,-0.001854732911729,-444.83165026118456,516.4154541327506,48.33528654468006,61.601555661923214,-3.620308812378104,-0.1608980800919054,-0.0128162044199969,359.845001112882,-358.4156827021247,-516.4154541327506,-0.0063246392289759,-0.1182461928912287,-0.1182461928912287,506.2276000463759,-0.0022717808432404,333.6560247229803,-282.6253625166893,255.98046037034263,87.37028884437176,-4.434357181367429,-0.1970769881520448,-0.015698005626851,347.47772757782104,-350.81225029680485,282.6253625166893,-0.0077467726754872,Covid
SRR13077826,-0.1182486035117411,-0.1182486035117411,623.5540640892,-0.0022718271568161,-499.5000515481232,533.2713053470001,-179.15044691339196,-39.79917025849459,-4.434447582183899,-0.1970810058528968,-0.015698325653534,614.6108303427129,-428.1388957418197,-533.2713053470001,-0.0077469306047078,-0.1137310919210752,-0.1137310919210752,376.4459359108,-0.0021850353875379,333.24783495821174,-333.4220185024716,110.34512994325117,383.3433414217932,-4.265036123986692,-0.1895518198684461,-0.0150985945278686,349.66309203236136,-515.1274191803614,333.42201850247164,-0.0074509706714934,Covid
SRR13077828,-0.1029561969471012,-0.1029561969471012,536.3059638390013,-0.0019780249173381,-544.4931959455072,651.381917658501,88.43600017747761,122.8853755650714,-3.86096617688682,-0.1715936615785077,-0.013668152178754,372.5485280902594,-285.01185619490525,-651.381917658501,-0.0067450649680894,-0.108039752917915,-0.108039752917915,461.40846467419294,-0.0020756916987162,223.6876903620604,-181.85935026645024,131.04069063315663,43.809082970374014,-4.051604897465104,-0.1800662548631859,-0.0143430296380932,360.5671037545194,-315.0050669524753,181.85935026645024,-0.0070781086926034,Covid
SRR13077863,-0.092549708483404,-0.092549708483404,471.6433020252052,-0.0017780923819993,-636.3636363636364,636.2601138411497,-49.66810287062543,-265.53365679782115,-3.470711863208736,-0.1542495141390046,-0.0122866183596587,411.2186118800857,-360.4671734614653,-636.2601138411497,-0.0060632950226363,-0.1208953426271245,-0.1208953426271245,494.8349216616936,-0.002322677091782,480.25174426437815,-472.80760461276645,252.5499160428403,128.25327474884622,-4.533703095757192,-0.2014922377118612,-0.0160496987041917,426.2903200102249,-420.5200342708006,472.80760461276645,-0.0079203288829701,Covid
SRR13077872,-0.1170953305861137,-0.1170953305861137,459.063486641055,-0.0022496701361471,-381.2625546683796,540.3952702567111,197.55678646812416,-33.93307117753831,-4.391198628837062,-0.1951588843101968,-0.0155452206407278,350.0772971613583,-365.15109300403486,-540.3952702567111,-0.0076713751642296,-0.1047291490644893,-0.1047291490644893,404.912939138497,-0.0020120873979775,384.5736652443569,-354.41582938023225,177.26839495898207,-91.30301045655332,-3.927453754725064,-0.1745485817741449,-0.0139035239199861,406.3130940468496,-371.99815241735024,354.41582938023225,-0.0068612180270916,Covid
SRR13077897,-0.1065314997592679,-0.1065314997592679,454.01208791095286,-0.0020467146927842,-423.4828461246596,627.6225732295061,69.91233201468063,-92.30230758387596,-3.9950438102807135,-0.1775524995987837,-0.0141427985271235,315.35731214892013,-353.4902200377137,-627.6225732295061,-0.0069792971023908,-0.1151270339005719,-0.1151270339005719,489.8262293944237,-0.00221185463786,472.487874275576,-398.4711006519904,-30.158831326466828,-219.8942666480777,-4.317385423276631,-0.1918783898342887,-0.0152839155476094,342.3799068324239,-319.3852829108933,398.4711006519904,-0.0075424243151083,Covid
SRR13077909,-0.0967563083238704,-0.0967563083238704,562.6136393586187,-0.0018589108227578,-511.6240745488649,611.2041604180804,80.28196162538016,-114.80021887821876,-3.628463802240387,-0.1612605138731176,-0.0128450737851681,372.8712136657853,-375.0462980872505,-611.2041604180804,-0.0063388859055639,-0.1212734285777626,-0.1212734285777626,370.0136067358765,-0.0023299409909279,396.503248338884,-336.8434886508793,112.0158658460472,81.09057523229403,-4.547881718420578,-0.2021223809629414,-0.0160998922473031,351.7427314667603,-387.09872663803134,336.8434886508793,-0.0079450987790598,Covid
SRR13077916,-0.126539177826353,-0.126539177826353,352.707975181469,-0.0024311081234681,-210.99009611302205,392.7636495167721,-105.10667660058483,-14.233546755595937,-4.745352879435432,-0.2108986297106128,-0.0167989571331515,418.429509148406,-370.9428943650329,-392.763649516772,-0.0082900787010251,-0.1351956837249263,-0.1351956837249263,647.2920248185311,-0.0025974194759734,-170.03521291057726,211.62296107905672,276.92175790626817,57.12622769067324,-5.069980997755754,-0.2253261395415344,-0.0179481685790351,334.3100793551684,-273.51060915461096,-211.62296107905672,-0.0088572004131078,Covid
SRR13077917,-0.137822975858429,-0.137822975858429,400.63453789345607,-0.002647895789794,-338.1224760208059,346.0818058325762,19.918029743613506,60.89354780659509,-5.168507228959683,-0.22970495976406,-0.0182969599074322,335.14869048851654,-425.5947961007648,-346.0818058325762,-0.0090293246431816,-0.1334166760022456,-0.1334166760022456,517.2772633388819,-0.0025632406532692,166.69879925647766,-162.1266591258362,278.99431813945495,-156.11529976646884,-5.003266328320485,-0.2223611266704254,-0.0177119929140405,350.8986955988176,-344.37591238760245,162.1266591258362,-0.00874065062762,Covid
SRR13077918,-0.0868658965658986,-0.0868658965658963,465.3446417802144,-0.0016688933057816,-823.2980386238287,837.5603966163219,-232.60093907818623,60.66649203664773,-3.2575629103528336,-0.1447764942764962,-0.0115320527429433,227.41893617053924,-271.55161367586766,-837.5603966163219,-0.0056909261727051,-0.1074436958432396,-0.1074436958432396,496.8359804360389,-0.0020642400738338,588.9241643096793,-449.0318693532983,-71.38931463834071,-280.4846978211653,-4.029252127325431,-0.1790728264053847,-0.0142638989102207,294.4630996295763,-333.82475081249504,449.0318693532983,-0.0070390586517802,Covid
SRR13077919,-0.0761046876670055,-0.0761046876670055,717.3446814742973,-0.0014621457765088,-61.86771363121567,173.48729770025062,246.73603833596388,-492.8322406386261,-2.8540062055305198,-0.1268411461116784,-0.0101034273156377,361.4249434877827,-297.3665972575499,-173.48729770025062,-0.0049859170978682,-0.0736112236288742,-0.0736112236288742,199.4470175194937,-0.0014142406076719,17.306132528452174,37.07204546408628,128.76039759104816,4.487370818158494,-2.7604986693165,-0.1226853727148181,-0.0097724025989615,48.028320348386366,-422.4402239389094,-37.07204546408626,-0.0048225604721286,Covid
SRR13077922,-0.0938598943521133,-0.0938598943521133,408.10963272100287,-0.0018032640605517,-29.365853277031924,235.61845967928863,373.93735576241687,14.674963036104232,-3.5198452177278265,-0.1564331572535222,-0.0124605546584709,417.16738521739296,-280.50607198587016,-235.61845967928863,-0.0061491304465003,-0.0962827568579165,-0.0962827568579165,486.05824169382703,-0.0018498128118662,65.1945316960958,-52.34927017923384,5.919036788980545,-43.79277015677872,-3.610705121876339,-0.1604712614298552,-0.0127822065300323,382.2513391917202,-312.14121784444507,52.34927017923384,-0.0063078616884818,Covid
SRR12328893,-0.1011661339692797,-0.1011661339692797,478.5733767190162,-0.0019436336977809,-172.93022118065142,326.3287221908302,101.71271465230024,-82.74063571375714,-3.793836923701507,-0.1686102232821398,-0.0134305088516371,445.13866992117937,-457.9054101719624,-326.3287221908302,-0.0066277909094071,-0.0929359295730065,-0.0929359295730065,482.5838108791737,-0.0017855125758526,30.77003833270205,40.52234894774197,-236.0262177013651,-48.72508600182928,-3.485195562179284,-0.15489321595501,-0.0123378918991271,398.26404871464496,-382.25174143022144,-40.52234894774197,-0.006088597883655,Healthy
SRR12328894,-0.1178617494145565,-0.1178617494145565,503.3206711083867,-0.0022643948014326,-579.832695829812,682.5306469223827,-74.54253285229463,-200.2800572670042,-4.4199401447602416,-0.1964362490242696,-0.015646968077902,420.9123749855768,-446.20211210096,-682.5306469223827,-0.0077215862728867,-0.0991388764361256,-0.0991388764361263,338.2589644087984,-0.0019046854262505,514.0128997475541,-453.1165799888099,5.8156854454118685,-9.949260968826318,-3.7178126240535296,-0.1652314607268865,-0.0131613762953596,309.2168744909119,-330.2712737013758,453.1165799888099,-0.006494977303509,Healthy
SRR12328895,-0.1022641804045558,-0.1022641804045558,565.9071648704453,-0.001964729690766,-381.99698243443686,807.0265123501767,-44.597528774936286,-381.32092437207433,-3.8350148253042056,-0.1704403006742691,-0.013576282163222,400.67061411937743,-285.5091940414077,-807.0265123501767,-0.0066997282455297,-0.0996204944974389,-0.0996204944974389,288.7467244230211,-0.0019139384149392,749.8809692033099,-468.2708381728735,-136.674911327286,-119.468447197825,-3.735873810266816,-0.1660341574957379,-0.0132253144472069,383.0642540097099,-363.04379948336026,468.2708381728735,-0.0065265299949272,Healthy
