, Neutralism, Amensalism, GRSpeciesAFull , GRSpeciesBFull , GRASolo , GRBSolo ,label, Competition
SRR12328886,0.8333333333333334,0.16666666666666666,28.51157059723015,13.77188320324891,28.732703962120212,15.710045324280841,C,0.0
SRR13077784,0.6985294117647058,0.19852941176470587,18.547329117222944,22.71780843251255,20.001076507758533,24.99870544511273,C,0.10294117647058823
SRR13077872,0.7307692307692307,0.24358974358974358,22.496701361406743,20.12087397972812,24.02562027868715,21.44769146998729,C,0.02564102564102564
SRR13077916,0.0,0.6,23.191245437845343,24.3214821907092,32.16814283348078,30.31328537171827,C,0.4
SRR13077828,0.3333333333333333,0.4393939393939394,19.78024917331474,20.756916987110763,22.897596419986954,24.330950737482013,C,0.22727272727272727
SRR12328919,0.2857142857142857,0.6190476190476191,30.630494895051925,21.338348985949303,35.67935960823449,22.832879011409958,C,0.09523809523809523
SRR13077922,0.5869565217391305,0.34782608695652173,18.03264060559469,18.49812811871507,19.957466042768,19.271786464430082,C,0.06521739130434782
SRR13077653,0.42857142857142855,0.5357142857142857,25.606159514874456,19.186512718737863,28.870446411732477,22.517295429229684,C,0.03571428571428571
SRR13077782,0.5,0.5,19.027187966554003,18.20733098240316,22.0094707206318,21.117118138920766,C,0.0
SRR13077897,0.7121212121212122,0.22727272727272727,20.277848682261762,19.442771152893865,21.769566463428053,20.991027687928124,C,0.06060606060606061
SRR12328924,0.4,0.6,30.285454792258612,20.905829731248243,31.262025561773402,27.473323443422526,C,0.0
SRR13077909,0.3137254901960784,0.5620915032679739,18.58910822744866,23.29940990927227,22.382156769247413,27.213419433760873,C,0.12418300653594772
SRR13077727,0.0,0.6,11.658367960256095,7.418678877298778,16.740480490178456,9.998756063510363,C,0.4
SRR12328954,0.6666666666666666,0.3333333333333333,34.66539775274487,24.957617717135875,35.834147888504944,25.262626093903034,C,0.0
SRR12328940,0.0,1.0,32.57240106968637,17.756626574401647,33.4558427091095,31.82313890130646,C,0.0
SRR13077826,0.3333333333333333,0.6,22.71827156805784,21.850353875327027,26.868009514717603,23.768380506362575,C,0.06666666666666667
SRR13077699,0.4696969696969697,0.3181818181818182,20.540085793559893,23.371260185784564,24.29264810601567,26.532181273893087,C,0.21212121212121213
SRR12328916,1.0,0.0,24.300053632513166,16.84188387200515,24.905213045342197,16.891195696370797,C,0.0
SRR13077741,0.5277777777777778,0.3055555555555556,19.198122581041176,28.03818929547659,21.624967412021622,30.254299921929842,C,0.16666666666666666
SRR12328932,1.0,0.0,17.33107299168566,16.7334231943259,17.331072991685666,16.733423194325894,C,0.0
SRR12328907,1.0,0.0,9.464401136641316,14.698436730123436,9.464401136641316,16.1526489940534,C,0.0
SRR12672292,0.5,0.3333333333333333,21.210119341415336,18.399377996583368,25.12764888345929,18.86887422852108,C,0.16666666666666666
SRR13077751,0.2885375494071146,0.5810276679841897,25.252545331318533,17.620244326342608,29.08395929221933,22.18489882692639,C,0.13043478260869565
SRR12328937,1.0,0.0,16.958994499011492,8.152082676732473,16.958994499011492,8.226571910909051,C,0.0
SRR13077775,0.2,0.5333333333333333,27.473377210128607,18.04371351718753,30.82453546816042,22.587126943599856,C,0.26666666666666666
SRR12328890,0.0,1.0,17.256407670327388,54.1791842172949,17.511684386842248,68.03901090852962,C,0.0
SRR12328921,0.6666666666666666,0.3333333333333333,23.052827230056078,29.661083326338836,23.79011193524092,32.503056122015586,C,0.0
SRR12328930,0.0,0.7,21.569475122707484,17.64312008957532,28.203396021060392,24.280910532226827,C,0.3
SRR12328953,0.47619047619047616,0.42857142857142855,19.66383060712805,17.552298896040593,23.923787137703442,19.89654105571204,C,0.09523809523809523
SRR12328920,0.19047619047619047,0.6666666666666666,16.324883056406087,21.46906279438691,21.914092541485655,25.61905400972851,C,0.14285714285714285
SRR12328925,1.0,0.0,12.713428517623727,16.669296803880712,12.713428517623727,16.669296803880705,C,0.0
SRR12328917,0.3333333333333333,0.3333333333333333,20.128638169422548,38.0438008155299,25.710286822326058,39.292474471321206,C,0.3333333333333333
SRR13077721,0.39166666666666666,0.525,23.155191914424943,20.942864468107555,26.405640570412775,23.886525786185327,C,0.08333333333333333
SRR13077918,0.13333333333333333,0.7333333333333333,16.275254369038592,19.11217914713827,20.387114652988195,23.205959597233008,C,0.13333333333333333
SRR13077726,0.26666666666666666,0.6,16.73139535483627,25.88376745522305,21.6821392320344,29.315208915702605,C,0.13333333333333333
SRR12328950,0.5333333333333333,0.4,33.02182105493072,29.974132275907156,35.8237921239032,34.279461823002926,C,0.06666666666666667
SRR13077659,0.6785714285714286,0.21428571428571427,21.755802696077986,23.42689335453209,24.509356673529258,24.42561293454794,C,0.10714285714285714
SRR13077718,0.7142857142857143,0.19047619047619047,23.044740252056712,21.25897757986254,24.618858572753858,22.60638157157114,C,0.09523809523809523
SRR13077917,0.5512820512820513,0.34615384615384615,26.47895789787388,25.632406532613842,29.44668470345745,27.063006343303613,C,0.10256410256410256
SRR12328955,0.0,0.0,6.032243217784612,27.940104779012287,8.864683339150352,33.37021270198601,C,1.0
SRR12672291,0.0,1.0,30.778355906180362,14.453232615147002,31.51465055253328,25.892640159487712,C,0.0
SRR12328957,0.3333333333333333,0.6666666666666666,10.402293403474669,14.958978221068161,16.296303871963314,16.693520816204593,C,0.0
SRR12328896,0.3333333333333333,0.6388888888888888,21.013666453305127,27.044443694261602,24.069165709256467,29.890189520023153,C,0.027777777777777776
SRR12672293,1.0,0.0,36.178016274545,26.93072009665414,37.217487482663536,26.93072009665414,C,0.0
SRR13077863,0.43636363636363634,0.509090909090909,17.780923820058778,23.226770917795182,21.068798274252423,26.014945855428195,C,0.05454545454545454
SRR12328956,0.5,0.3333333333333333,33.58090940692272,21.6697293498945,35.29090627448363,24.407790321410605,C,0.16666666666666666
SRR13077738,0.6111111111111112,0.25,17.45853610651968,17.865129798845782,19.955314860242783,20.07163357990428,C,0.1388888888888889
SRR13077919,0.6666666666666666,0.3333333333333333,14.621457765035334,14.142406076634343,15.179981806818017,15.220567682637482,C,0.0
SRR12328958,0.6666666666666666,0.2222222222222222,19.73669646289719,20.01454172997839,21.735316897763287,21.846049381221356,C,0.1111111111111111
SRR13077684,0.4696969696969697,0.36363636363636365,27.07731418934566,23.1333276029183,31.509154046344587,26.925295215348626,C,0.16666666666666666
SRR12328904,0.5272727272727272,0.38181818181818183,23.616632517336864,19.386770396065806,25.77638572983616,23.09833326284139,H,0.09090909090909091
SRR13077847,0.32075471698113206,0.4968553459119497,25.200403358900964,23.641346101359343,28.78582546495275,27.902239815628263,H,0.18238993710691823
SRR12328897,0.36363636363636365,0.38181818181818183,23.660762858760236,19.231075367024083,27.044994686259926,22.831057392943926,H,0.2545454545454545
SRR13077889,0.3333333333333333,0.6,29.206342377567005,15.644417215621194,31.722081499978536,20.02833684009562,H,0.06666666666666667
SRR12328895,0.5833333333333334,0.3333333333333333,19.647296907697513,19.139384149364073,21.928888098886056,22.154159812046895,H,0.08333333333333333
SRR13077900,0.0,0.6666666666666666,9.327737147688405,18.93896427817093,11.19310472307869,20.122874461093215,H,0.3333333333333333
SRR13077668,0.27472527472527475,0.5384615384615384,20.15773416456192,14.563301504337542,23.87887818691459,19.026294223451046,H,0.18681318681318682
SRR13077911,0.5047619047619047,0.3904761904761905,22.13040710962493,18.312599276633843,24.670212979030946,21.63116316073607,H,0.10476190476190476
SRR13077696,0.2857142857142857,0.5238095238095238,26.008079109924417,11.767052588242919,28.529230126790367,17.304564061042296,H,0.19047619047619047
SRR13077856,0.5636363636363636,0.32727272727272727,23.626477177576213,19.87007210780034,25.875629912795738,21.60112747960718,H,0.10909090909090909
SRR13077855,0.7,0.25833333333333336,25.477971237050234,18.691895709189268,26.54103821110369,21.225081556086767,H,0.041666666666666664
SRR13077681,0.45,0.425,17.594151067621862,19.86883689577534,21.02193784338294,22.166562376837074,H,0.125
SRR13077925,1.0,0.0,26.361018603090233,26.052443519608925,26.605740075323425,26.26915268914132,H,0.0
