Model , GRSpeciesAFull , GRSpeciesBFull , GRASolo , GRBSolo , TypeOfInteraction,Patient
SRR12328893.bin.5.fbc2XSRR12328893.bin.21.fbc2 ,33.36031571268703,0.0,33.36031571268701,7.65888522544907, Amensalism,Healthy
SRR12328893.bin.16.fbc2XSRR12328893.bin.30.fbc2 ,16.8410512615328,16.51542855646088,16.84105126153284,16.515428556460886, Neutralism,Healthy
SRR12328893.bin.6.fbc2XSRR12328893.bin.21.fbc2 ,26.295347378367893,0.0,26.295347378367893,7.658885225449071, Amensalism,Healthy
SRR12328893.bin.5.fbc2XSRR12328893.bin.13.fbc2 ,26.72329634229458,19.8779578975874,33.36031571268701,25.739189740860027, Competition,Healthy
SRR12328893.bin.6.fbc2XSRR12328893.bin.9.fbc2 ,22.78572879969161,23.725920473594226,26.295347378367893,34.13472174973946, Competition,Healthy
SRR12328893.bin.5.fbc2XSRR12328893.bin.16.fbc2 ,33.29200519490913,16.840608540778614,33.36031571268701,16.84105126153283, Neutralism,Healthy
SRR12328893.bin.5.fbc2XSRR12328893.bin.25.fbc2 ,33.359403073430414,16.665874482099618,33.36031571268701,16.82005321730278, Neutralism,Healthy
SRR12328893.bin.14.fbc2XSRR12328893.bin.30.fbc2 ,12.984347682656958,16.515428556460876,12.98434768265696,16.515428556460872, Neutralism,Healthy
SRR12328893.bin.22.fbc2XSRR12328893.bin.30.fbc2 ,35.60491007969574,11.974691129560105,35.60491007969576,16.515428556460872, Amensalism,Healthy
SRR12328893.bin.16.fbc2XSRR12328893.bin.21.fbc2 ,16.841051261532836,7.627116158437184,16.84105126153284,7.658885225449069, Neutralism,Healthy
SRR12328893.bin.34.fbc2XSRR12328893.bin.7.fbc2 ,16.370594506242938,30.921326318375435,16.37495824795021,31.24738181712613, Neutralism,Healthy
SRR12328893.bin.6.fbc2XSRR12328893.bin.2.fbc2 ,18.760961542731817,12.256718988705703,26.295347378367893,15.614204404134169, Competition,Healthy
SRR12328893.bin.9.fbc2XSRR12328893.bin.7.fbc2 ,27.7504608273652,28.984242490663352,34.13472174973946,31.24738181712613, Amensalism,Healthy
SRR12328893.bin.34.fbc2XSRR12328893.bin.13.fbc2 ,16.374958247950232,25.16731005666326,16.37495824795021,25.739189740860027, Neutralism,Healthy
SRR12328893.bin.5.fbc2XSRR12328893.bin.6.fbc2 ,24.424182646986903,17.433295547827438,33.36031571268701,26.295347378367893, Competition,Healthy
SRR12328893.bin.28.fbc2XSRR12328893.bin.5.fbc2 ,16.359821848084003,24.416697004829008,17.948787550996975,33.360315712687004, Amensalism,Healthy
SRR12328893.bin.28.fbc2XSRR12328893.bin.6.fbc2 ,15.63443098792343,22.71815226874148,17.948787550996975,26.29534737836789, Competition,Healthy
SRR12328893.bin.28.fbc2XSRR12328893.bin.9.fbc2 ,14.638370216411856,28.62786595460908,17.948787550996975,34.13472174973947, Competition,Healthy
SRR12328893.bin.25.fbc2XSRR12328893.bin.21.fbc2 ,16.75237067823179,7.6046382178005185,16.820053217302778,7.658885225449069, Neutralism,Healthy
SRR12328893.bin.34.fbc2XSRR12328893.bin.16.fbc2 ,16.37495824795021,16.841051261532645,16.37495824795021,16.841051261532836, Neutralism,Healthy
SRR12328893.bin.5.fbc2XSRR12328893.bin.7.fbc2 ,22.0300536657978,28.813469670155108,33.36031571268701,31.24738181712612, Amensalism,Healthy
SRR12328893.bin.14.fbc2XSRR12328893.bin.16.fbc2 ,12.984347682656963,16.841051261532833,12.98434768265696,16.841051261532836, Neutralism,Healthy
SRR12328893.bin.22.fbc2XSRR12328893.bin.25.fbc2 ,35.60393603499707,16.66587448209962,35.60491007969576,16.820053217302785, Neutralism,Healthy
SRR12328893.bin.14.fbc2XSRR12328893.bin.6.fbc2 ,12.984347682656956,26.16463080911304,12.98434768265696,26.29534737836789, Neutralism,Healthy
SRR12328893.bin.28.fbc2XSRR12328893.bin.24.fbc2 ,16.384920762987434,15.323021535772826,17.948787550996975,15.396966142179837, Neutralism,Healthy
SRR12328893.bin.34.fbc2XSRR12328893.bin.8.fbc2 ,16.37495824795021,16.616063224992917,16.37495824795021,16.61606322499291, Neutralism,Healthy
SRR12328893.bin.5.fbc2XSRR12328893.bin.14.fbc2 ,33.11155995621383,12.984347682656962,33.36031571268701,12.98434768265696, Neutralism,Healthy
SRR12328893.bin.34.fbc2XSRR12328893.bin.30.fbc2 ,16.374958247950207,16.51542855646088,16.37495824795021,16.515428556460872, Neutralism,Healthy
SRR12328893.bin.16.fbc2XSRR12328893.bin.6.fbc2 ,16.840608540778607,26.259451459195827,16.84105126153284,26.29534737836789, Neutralism,Healthy
SRR12328893.bin.16.fbc2XSRR12328893.bin.10.fbc2 ,16.841051261532836,15.00653497237468,16.84105126153284,15.030650383150514, Neutralism,Healthy
SRR12328893.bin.22.fbc2XSRR12328893.bin.6.fbc2 ,24.11190637094258,23.076482996230723,35.60491007969576,26.29534737836789, Competition,Healthy
SRR12328893.bin.22.fbc2XSRR12328893.bin.7.fbc2 ,34.61641635988028,19.061130958798767,35.60491007969576,31.247381817126115, Amensalism,Healthy
SRR12328893.bin.24.fbc2XSRR12328893.bin.21.fbc2 ,14.521147115773704,7.6416859245496065,15.396966142179837,7.658885225449069, Neutralism,Healthy
SRR12328893.bin.5.fbc2XSRR12328893.bin.9.fbc2 ,16.680157856343502,34.13472174973945,33.36031571268701,34.13472174973947, Amensalism,Healthy
SRR12328893.bin.6.fbc2XSRR12328893.bin.24.fbc2 ,23.569888583508263,14.520469162851375,26.295347378367893,15.396966142179846, Amensalism,Healthy
SRR12328893.bin.22.fbc2XSRR12328893.bin.21.fbc2 ,35.604910079695706,0.0,35.60491007969576,7.658885225449068, Amensalism,Healthy
SRR12328893.bin.34.fbc2XSRR12328893.bin.14.fbc2 ,16.3749582479502,12.984347682656958,16.37495824795021,12.98434768265696, Neutralism,Healthy
SRR12328893.bin.13.fbc2XSRR12328893.bin.10.fbc2 ,21.88854355285949,14.364705106179516,25.739189740860027,15.030650383150505, Amensalism,Healthy
SRR12328893.bin.16.fbc2XSRR12328893.bin.7.fbc2 ,16.84105126153283,31.24738181712613,16.84105126153284,31.247381817126108, Neutralism,Healthy
SRR12328893.bin.5.fbc2XSRR12328893.bin.8.fbc2 ,20.02380377745205,16.55758351274647,33.36031571268701,16.61606322499291, Amensalism,Healthy
SRR12328893.bin.22.fbc2XSRR12328893.bin.8.fbc2 ,21.371072716752405,16.557583512746472,35.60491007969576,16.61606322499291, Amensalism,Healthy
SRR12328893.bin.8.fbc2XSRR12328893.bin.25.fbc2 ,16.616063224992907,16.820053217302778,16.6160632249929,16.820053217302778, Neutralism,Healthy
SRR12328893.bin.28.fbc2XSRR12328893.bin.7.fbc2 ,16.894021039438176,30.817939704163805,17.948787550996975,31.24738181712612, Neutralism,Healthy
SRR12328893.bin.34.fbc2XSRR12328893.bin.28.fbc2 ,16.37495824795021,17.946944957326977,16.37495824795021,17.948787550996986, Neutralism,Healthy
SRR12328893.bin.34.fbc2XSRR12328893.bin.6.fbc2 ,16.374958247950214,26.283649813348543,16.37495824795021,26.295347378367904, Neutralism,Healthy
SRR12328893.bin.10.fbc2XSRR12328893.bin.9.fbc2 ,3.542929297220596,34.042083505492634,15.030650383150506,34.13472174973946, Amensalism,Healthy
SRR12328893.bin.25.fbc2XSRR12328893.bin.9.fbc2 ,16.665874482099632,34.1337879250314,16.820053217302778,34.13472174973946, Neutralism,Healthy
SRR12328893.bin.24.fbc2XSRR12328893.bin.10.fbc2 ,14.569278350508602,13.444253878414187,15.396966142179837,15.030650383150505, Amensalism,Healthy
SRR12328893.bin.34.fbc2XSRR12328893.bin.25.fbc2 ,16.374958247950122,16.820053217302778,16.37495824795021,16.820053217302785, Neutralism,Healthy
SRR12328893.bin.10.fbc2XSRR12328893.bin.25.fbc2 ,14.989472312912715,16.75237067823179,15.030650383150506,16.820053217302778, Neutralism,Healthy
SRR12328893.bin.34.fbc2XSRR12328893.bin.5.fbc2 ,15.828445415649997,33.31364710233521,16.37495824795021,33.36031571268701, Neutralism,Healthy
SRR12328893.bin.28.fbc2XSRR12328893.bin.25.fbc2 ,17.916656171627878,16.820053217302785,17.948787550996975,16.820053217302778, Neutralism,Healthy
SRR12328893.bin.10.fbc2XSRR12328893.bin.7.fbc2 ,8.009735927868924,30.78515005296597,15.030650383150506,31.24738181712612, Amensalism,Healthy
SRR12328893.bin.16.fbc2XSRR12328893.bin.24.fbc2 ,16.841051261532833,15.396966142179838,16.84105126153284,15.396966142179844, Neutralism,Healthy
SRR12328893.bin.28.fbc2XSRR12328893.bin.14.fbc2 ,17.928197152681168,12.984347682656956,17.948787550996975,12.984347682656962, Neutralism,Healthy
SRR12328893.bin.14.fbc2XSRR12328893.bin.7.fbc2 ,12.984347682656958,31.247381817126108,12.98434768265696,31.24738181712612, Neutralism,Healthy
SRR12328893.bin.22.fbc2XSRR12328893.bin.10.fbc2 ,35.54688577795459,3.406651409329143,35.60491007969576,15.030650383150515, Amensalism,Healthy
SRR12328893.bin.10.fbc2XSRR12328893.bin.2.fbc2 ,4.260672694539736,15.532153277720049,15.030650383150506,15.614204404134172, Amensalism,Healthy
SRR12328893.bin.13.fbc2XSRR12328893.bin.2.fbc2 ,23.7739927540112,15.614204404134169,25.739189740860027,15.614204404134206, Neutralism,Healthy
SRR12328893.bin.21.fbc2XSRR12328893.bin.7.fbc2 ,6.499131506126961,30.438141659837672,7.658885225449069,31.247381817126108, Amensalism,Healthy
SRR12328893.bin.24.fbc2XSRR12328893.bin.25.fbc2 ,15.396662080778292,16.82005321730277,15.396966142179837,16.82005321730278, Neutralism,Healthy
SRR12328893.bin.14.fbc2XSRR12328893.bin.2.fbc2 ,12.984347682656962,15.381345503053662,12.98434768265696,15.614204404134169, Neutralism,Healthy
SRR12328893.bin.21.fbc2XSRR12328893.bin.30.fbc2 ,4.804848941886323,16.436985832013704,7.658885225449069,16.515428556460886, Amensalism,Healthy
SRR12328893.bin.14.fbc2XSRR12328893.bin.24.fbc2 ,12.984347682656956,15.396966142179838,12.98434768265696,15.39696614217987, Neutralism,Healthy
SRR12328893.bin.16.fbc2XSRR12328893.bin.13.fbc2 ,16.84105126153283,25.70643795822144,16.84105126153284,25.739189740860027, Neutralism,Healthy
SRR12328893.bin.10.fbc2XSRR12328893.bin.21.fbc2 ,14.416234530796263,0.8075556926363615,15.030650383150506,7.658885225449073, Amensalism,Healthy
SRR12328893.bin.24.fbc2XSRR12328893.bin.13.fbc2 ,8.686337722658196,21.028247102410205,15.396966142179837,25.739189740860027, Competition,Healthy
SRR12328893.bin.8.fbc2XSRR12328893.bin.9.fbc2 ,16.557583512746472,20.488624154560043,16.6160632249929,34.134721749739455, Amensalism,Healthy
