"","classifier","Accuracy_mean","Precision_mean","Recall_mean","F1_mean","Accuracy_sd","Precision_sd","Recall_sd","F1_sd"
"1","DecisionTreeClassifier",0.59,0.592239,0.59,0.5869708,0.0994428926011753,0.102450048461569,0.0994428926011753,0.100812724052296
"2","Ensemble model",0.795,0.8187448942,0.793,0.7915860606,0.0675359986311827,0.0507931942300786,0.065328231093286,0.0669859086501012
"3","GradientBoostingClassifier",0.665,0.6719786,0.665,0.6621237,0.102875329080073,0.105857297379486,0.102875329080073,0.102810633734551
"4","KNeighborsClassifier",0.64,0.6550923,0.64,0.6280238,0.0809663853432741,0.0890844898559788,0.0809663853432741,0.0905144340396111
"5","LGBMClassifier",0.62,0.624764,0.62,0.6170573,0.103279555898864,0.108079527015989,0.103279555898864,0.103606086565146
"6","RandomForestClassifier",0.625,0.6302847,0.625,0.6211976,0.0889756521002609,0.0948594917795672,0.0889756521002609,0.0906048229648339
"7","SVC",0.685,0.7219289,0.685,0.6701389,0.0668746754924629,0.0730755544434054,0.0668746754924629,0.0782160040407332
